id;nombre_grupoalimento_español;nombre_grupoalimento_inglés;nombre_espaÃ±ol;nombre_inglés;codificación_LanguaL;parte_comestible;luteina (ug por 100 g de porción comestible);carbohidratos (g por 100 g de porción comestible);luteina más zeaxantina (ug por 100 g de porción comestible);licopeno (ug por 100 g de porción comestible);sacarosa (g por 100 g de porción comestible);lactosa (g por 100 g de porción comestible);maltosa (g por 100 g de porción comestible);caroteno, total (precursores de la vitamina A) (ug por 100 g de porción comestible);carotenoides, totales (ug por 100 g de porción comestible);alfa-caroteno (ug por 100 g de porción comestible);beta-caroteno (ug por 100 g de porción comestible);equivalentes de beta-caroteno  (carotenoides provitamina A) (ug por 100 g de porción comestible);colecalciferol (ug por 100 g de porción comestible);retinol(vitamina A preformada) (ug por 100 g de porción comestible);Vitamina A equivalentes de retinol de actividades de retinos y carotenoides (ug por 100 g de porción comestible);Vitamina D (ug por 100 g de porción comestible);Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E (mg por 100 g de porción comestible);zeaxantina (ug por 100 g de porción comestible);ácido graso 10:0 (ácido cáprico) (g por 100 g de porción comestible);ácido graso 12:0 (láurico) (g por 100 g de porción comestible);ácido graso 14:0 (ácido mirístico) (g por 100 g de porción comestible);ácido graso 16:0 (ácido palmítico) (g por 100 g de porción comestible);ácido graso 16:1 n-7 cis (ácido palmitoléico) (g por 100 g de porción comestible);ácido graso 18:0 (ácido esteárico) (g por 100 g de porción comestible);ácido graso 18:1 n-9 cis (ácido oléico) (g por 100 g de porción comestible);ácido graso 18:2 (g por 100 g de porción comestible);ácido graso 18:3 (g por 100 g de porción comestible);ácido graso 20:0 (ácido araquídico) (g por 100 g de porción comestible);ácido graso 20:1 cis (ácido eicosenóico) (g por 100 g de porción comestible);ácido graso 20:4 n-6  (ácido araquidónico) (g por 100 g de porción comestible);ácido graso 20:5 (ácido eicosapentaenóico) (g por 100 g de porción comestible);ácido graso 22:6 n-3 (ácido docosahexaenóico) (g por 100 g de porción comestible);ácido graso 4:0 (ácido butírico) (g por 100 g de porción comestible);ácido graso 6:0 (ácido capróico) (g por 100 g de porción comestible);ácido graso 8:0 (ácido caprílico) (g por 100 g de porción comestible);ácidos grasos, monoinsaturados totales (g por 100 g de porción comestible);ácidos grasos, poliinsaturados totales (g por 100 g de porción comestible);ácidos grasos saturados totales (g por 100 g de porción comestible);ácidos grasos, trans totales (g por 100 g de porción comestible);fibra, dietetica total (g por 100 g de porción comestible);calcio (mg por 100 g de porción comestible);cloruro (mg por 100 g de porción comestible);hierro, total (mg por 100 g de porción comestible);potasio (mg por 100 g de porción comestible);magnesio (mg por 100 g de porción comestible);sodio (mg por 100 g de porción comestible);hierro, no hemo (mg por 100 g de porción comestible);fósforo (mg por 100 g de porción comestible);fructosa (g por 100 g de porción comestible);glucosa (g por 100 g de porción comestible);proteína, animal (g por 100 g de porción comestible);proteina, vegetal (g por 100 g de porción comestible);alcohol (etanol) (g por 100 g de porción comestible);energía, total (kcal por 100 g de porción comestible);grasa, total (lipidos totales) (g por 100 g de porción comestible);ácidos orgánicos, totales (g por 100 g de porción comestible);proteina, total (g por 100 g de porción comestible);agua (humedad) (mg por 100 g de porción comestible);agua (humedad) (g por 100 g de porción comestible);almidón, total (g por 100 g de porción comestible);brassicasterol (mg por 100 g de porción comestible);campesterol, total (mg por 100 g de porción comestible);colesterol (mg por 100 g de porción comestible);sitosterol (mg por 100 g de porción comestible);estigmasterol (mg por 100 g de porción comestible);azucares, totales (g por 100 g de porción comestible);cobre (mg por 100 g de porción comestible);ioduro (ug por 100 g de porción comestible);manganeso (mg por 100 g de porción comestible);niquel (ug por 100 g de porción comestible);selenio, total (ug por 100 g de porción comestible);zinc (cinc) (mg por 100 g de porción comestible);biotina (mg por 100 g de porción comestible);biotina (ug por 100 g de porción comestible);beta-criptoxantina (ug por 100 g de porción comestible);folato, total (ug por 100 g de porción comestible);niacina, preformada (mg por 100 g de porción comestible);equivalentes de niacina, totales (mg por 100 g de porción comestible);ácido pantoténico (vitamina B5) (mg por 100 g de porción comestible);piridoxina (mg por 100 g de porción comestible);riboflavina (mg por 100 g de porción comestible);tiamina (mg por 100 g de porción comestible);Vitamina B-12 (ug por 100 g de porción comestible);Vitamina B-6, Total (mg por 100 g de porción comestible);Vitamina C (ácido ascórbico) (mg por 100 g de porción comestible);ácido fólico (ug por 100 g de porción comestible)
895;6;Grains and grain products;Almidón de trigo;Wheat starch;A0149 A0457 A0631 A0662 A0696 A0729 A0812 B1312 C0203 E0106 F0003 G0003 H0134 H0138 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0205 Z0215;1.000.000;;86,1;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;0;0;0;;0;0;;0;16;20;2;;100;;;;;0;354,1632;0;;0,4;;13,4;;;;0;;;;;0,6;;;0;0,5;;;;0;;0,2;;;0;0;0;0;0;
896;7;Pulses, seeds, nuts and products;Almendra, cruda;Almond, raw;A0260 A0455 A0629 A0652 A0703 A0730 A0823 B1272 C0133 E0131 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0205 Z0215;0.550000;;6,2038;;;;;;;;;;0;;0;0;0;24;;;;0,03;2,98;;1,08;27,3;11,06;0,05;;;;;;;;;27,98;11,14;4,32;;8,3475;248,25;18;3,5875;767,25;258,125;10,3625;;524,875;;;0;19,1333;0;588,624;45,22;;19,1333;;5,86818;0,109091;;;0;;;5,29926;1;2;1,7;;4;3,6;;64;;70;3,3;5,3;0,44;0,1;0,78;0,21;0;0,11;0;
897;7;Pulses, seeds, nuts and products;Almendra, frita, salada;Almond, fried, salted;A0260 A0455 A0629 A0652 A0703 A0730 A0823 B1272 C0133 E0151 F0014 G0025 H0173 H0263 J0001 K0001 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205;1.000.000;;4,5;;;;;;;;;;0;;0;0;0;24;;;;;;;;;;;;;;;;;;;38,5453;10,5315;4,4232;;15;250;;4,2;800;250;400;;470;;;0;19;0;592,824;55,9623;;19;;3;1,7;;;0;;;2,8;;1;;;4,4;3,2;;;;70;2,5;2,5;;;0,75;0,23;0;0,08;0;
898;7;Pulses, seeds, nuts and products;Alubia blanca, en conserva;White bean, canned;A0152 A0455 A0629 A0679 A0704 A0730 A0831 B1567 C0133 E0150 F0014 G0014 H0148 H0367 J0123 K0017 M0194 N0001 P0024 R0212 R0497 Z0112 Z0205;1.000.000;;15,7;;;;;;;;;;0;;0;0;0;0,05;;;;;;;;;;;;;;;;;;;0;0,12;0,07;;4,4;71;;2,8;362;39;4;;84;0,14;0,15;0;6,7;0;93,50088;0,2375;;6,7;;72,5;14,7;;;0;;;1;;2;;;16;2,3;;;;60;0,1;0,1;;;0,04;0,1;0;0,07;0;
899;7;Pulses, seeds, nuts and products;Alubia blanca, seca, cruda;White bean, dried, raw;A0152 A0455 A0629 A0679 A0704 A0730 A0831 B1567 C0133 E0150 F0003 G0003 H0138 J0116 J0123 K0003 M0001 N0001 P0024 R0212 R0497 Z0052 Z0215;1.000.000;;41,6364;;;;;;;;;;0;;0;1,08333;0;1,125;;;0;0,001;0,285;;0,018;0,102;0,276;0,231;;;0;0;0;;;;0,0977;0,697519;0,278796;;19,7;138,667;;5,19;1718;135,3;13,7;;470;;;0;22,225;0;272,4768;1,3425;;22,225;;10,8;39,2364;;;0;;;2,4;0,69;1,6;1,1;;3,2;3,655;;;;308;2,2;2,4;0,78;0,42;0,165;0,5;0;0,46;1,7;
900;7;Pulses, seeds, nuts and products;Alubia negra, seca, remojada, hervida;Pinto bean, dried, steeped, boiled;A0152 A0455 A0629 A0679 A0704 A0730 A0831 B1368 C0133 E0131 F0014 G0014 G0036 H0138 J0116 K0001 M0001 N0001 P0024 R0212 R0497 Z0052 Z0112;1.000.000;;13,7;;;;;;;;;;4;;0;0,666667;0;0,24;;;;;;;;;;;;;;;;;;;0;0,17;0;;8,7;66;;2,5;420;47;3;;130;;;0;8,4;0;92,05488;0,2125;;8,4;;68,9;12,8;;;0;;;0,9;;2;;;16;2,3;;;;74;0,5;0,5;;;0,06;0,16;0;0,1;1;
901;12;Miscellaneous foods;Crema de coco;Coconut cream;A0148 A0467 A0641 A0722 A0724 A0776 A0782 B1201 C0235 E0119 F0014 G0014 H0147 H0158 H0184 H0185 J0131 K0003 M0273 N0040 P0024 R0212 R0497 Z0112;1.000.000;;19,1;;;;;;;;;;;;;34;0,1;0,4;;;;;;;;;;;;;;;;;;;0,96;0,24;2,1;;0,01;113;;0,15;160;14;55;;104;;;;;0;124,536;3,5;;2,9;;73,4;;;;11;;;;;13,4;;;2;0,33;;;;0,31;;0,084;;;0,14;0,033;0,4;0,037;0,8;0,31
902;12;Miscellaneous foods;Crema de chocolate, baja en calorías;Chocolate cream, low calorie;A0272 A0467 A0641 A0663 A0722 A0733 A0839 B1318 C0001 E0119 F0014 G0003 H0157 H0158 H0184 H0227 H0231 H0248 J0123 K0003 M0187 M0194 N0036 P0024 R0212 R0497 Z0112;1.000.000;;13,9;;;;;;;;;;;;;19,8;0,05;0,5;;;;;;;;;;;;;;;;;;;1,8;0,9;0,5;;0,4;111;;0,2;158;19,7;58;;105;;;;;0;75,168;3,4;;3,6;;79,1;;;;1,4;;;;;17;;;2,8;0,6;;;;0,31;;1;;;0,16;0,04;0,4;0,05;1,2;0,31
903;12;Miscellaneous foods;Crema de chocolate y nata;Chocolate and cream pudding;A0272 A0467 A0641 A0663 A0722 A0733 A0839 B1318 C0001 E0119 F0014 G0003 H0158 H0165 H0184 H0231 H0247 H0296 J0123 K0003 M0187 M0194 N0036 P0024 R0212 R0497 Z0112;1.000.000;;9,9;;;;;;;;;;;;;18,6;0,05;0,1;;;;;;;;;;;;;;;;;;;1;0,1;2,6;;0,5;125;;0,3;140;19,6;61;;99;;;;;0;86,496;3,4;;3,9;;82,8;;;;7;;;;;14,1;;;2,3;0,5;;;;0,35;;0,8;;;0,17;0,03;0,4;0,04;1;0,35
904;6;Grains and grain products;Arroz integral, crudo;Rice, brown, raw;A0125 A0457 A0631 A0696 A0729 A0814 B1322 C0133 E0150 F0003 G0003 H0003 J0116 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205;1.000.000;;81,3;;;;;;;;;;0;;;0;0;0,6;;;;;;;;;;;;;;;;;;;0,83;0,89;0,52;;3;21;230;1,7;223;143;6;;303;0;0;0;7,5;0;385,7064;2,63529;;7,5;;11,4;72,7;;;0;;;;0,85;2,2;2,3;;2;1,8;;;;40;4,8;6,8;1,5;0,64;0,08;0,39;0;0,51;0;40
907;1;Milk and milk products;Leche condensada, entera, con azúcar;Milk, whole, condensed, with sugar;A0148 A0452 A0626 A0719 A0724 A0740 A0779 B1201 C0235 E0139 F0018 G0003 H0136 H0138 J0135 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;53,65;;;;;;;;;;45;;90;97,5;0,1;0,185;;;;;;;;;;;;;;;;;;;2,41528;0,231026;6,0907;;0;289;;0,1625;370;28,35;124,5;;232,5;;;8,5095;0;0;335,712;9,2455;;8,5095;;25,3015;0;;;30;;;53,65;;160;;;3;0,536;;;;8;0,22;0,22;;;0,465;0,085;0,505;0,06;1,5;
908;9;Fruits and fruit products;Coco, desecado;Coconut, dried;A0260 A0467 A0629 A0703 A0730 A0756 A0834 B1536 C0208 E0100 F0001 G0003 H0138 J0144 K0003 M0001 N0001 P0024 R0212 R0495 Z0112 Z0205;1.000.000;;11,8;;;;;;;;;;;;;0;0;0,7;;;;;;;;;;;;;;;;;;;3,8;0,9;49,9;;17;26;;3,32;543;90;37;;206;;;;;0;588,48;58;;6,2;;7;;;;0;;;;0,8;0,3;;;18,5;2,01;;;;9;;0,3;0,63;0,04;0,02;0,03;0;0,3;2;26
909;9;Fruits and fruit products;Coco, fresco;Coconut, raw;A0260 A0467 A0629 A0652 A0703 A0730 A0823 B1536 C0208 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0112 Z0205;0.710000;;15,2;;;;;;;;;;;;;0;0;0,7;;;;;;;;;;;;;;;;;;;1,4;0,37;29,7;;9;13;;2,1;405;52;17;;94;;;;;0;372,96;33,5;;3,3;;39;;;;0;;;;0,43;1;1,5;;10,1;0,5;;;;26;;1,1;0,3;0,04;0,02;0,03;0;0,04;2;26
911;1;Milk and milk products;Leche de coco;Coconut milk;A0112 A0465 A0667 A0709 A0734 A0840 B1536 C0208 E0109 F0014 G0003 H0148 J0123 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;2,8;;;;;;;;;;;;;0;0;0,7;;;;;;;;;;;;;;;;;;;1,4;0,3;18,3;;0;18;150;3,3;220;46;13;;96;;;;;0;208,728;21,3;;2;;73,9;;;;0;;;;0,27;0,7;0,92;;6,2;0,67;;;;14;;0,64;0,15;0,03;0,03;0,03;0;0,03;1;14
912;1;Milk and milk products;Leche en polvo, semidesnatada;Milk, semi-skimmed, dried;A0148 A0452 A0626 A0719 A0724 A0740 A0781 B1201 C0235 E0106 F0018 G0003 H0138 H0247 J0116 K0003 M0147 N0042 P0024 P0039 R0212 R0497 Z0112;1.000.000;;43,9;;;;;;;;;;110;;170;188,333;0,1;0,4;;;;;;;;;;;;;;;;;;;5,1;0,6;9,7;;0;1050;;0,3;1280;105;510;;930;;;29,8;0;0;445,4064;16,2963;;29,8;;3,5;0;;;60;;;43,9;;27;;;7,4;4,1;;;;30;1;1;;;1,2;0,4;2,9;0,2;4;
913;1;Milk and milk products;Leche merengada;Milk, whipped;A0148 A0452 A0626 A0719 A0724 A0740 A0780 B1201 C0235 E0123 F0018 G0014 H0100 H0158 H0205 J0135 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;10,7;;;;;;;;;;;;;46,06;0,03;0,09;;;;;;;;;;;;;;;;;;;7,6;0,8;22,1;;0;110;;0,21;87,3;12;26,2;;100;;;;;0;84,312;3,2;;3;;83,1;;;;14;;;;;11,6;;;1,7;;;;;0,77;;0,09;;0,04;0,19;0,04;0,2;0,04;0,1;0,77
914;9;Fruits and fruit products;Frambuesa, cruda;Raspberry, raw;A0143 A0455 A0629 A0671 A0707 A0732 A0833 B1494 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205;0.730000;;7;0;;0;;;;;12;8;10;;0;2;0;0,2;;;;;;;;;;;;;;;;;;;0;0,34;0;;6,7;22;22;0,7;220;20;3;;29;2,42;2,12;;1,2;0;38,118;0,525;;1,2;;84;0;;;0;;;7;0,1;0;0,4;;0,1;0,3;;1,9;;40;0,5;0,8;0,24;0,06;0,04;0,03;0;0,06;25;45
915;1;Milk and milk products;Leche, desnatada, pasteurizada;Milk, skimmed, pasteurized;A0148 A0452 A0626 A0719 A0724 A0740 A0780 B1201 C0235 E0123 F0018 G0003 H0248 J0135 K0003 M0001 N0001 P0039 R0212 R0497 Z0112;1.000.000;;4,6;;;;;;;;;;0;;0;0;0,01;0,01;;;;;;;;;;;;;;;;;;;0;0;0;;0;112;;0,1;174;10,5;45;;88;;;3,3;0;0;34,008;0,2;;3,3;;91,9;0;;;2;;;4,6;;16;;;2,8;0,4;;;;2,9;0,09;0,09;;;0,16;0,05;0,22;0,02;1;
916;1;Milk and milk products;Leche, semidesnatada, pasteurizada;Milk, semi-skimmed, pasteurized;A0148 A0452 A0626 A0719 A0724 A0740 A0780 B1201 C0235 E0123 F0018 G0003 H0247 J0135 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;4,6;;;;;;;;;;9;;19;20,5;0,01;0,08;;;;;;;;;;;;;;;;;;;0,48;0,05;0,95;;0;114;;0,04;166;10;46;;85;;;3,2;0;0;46,032;1,6;;3,2;;89,6;0;;;5;;;4,6;;8,6;;;1,5;0,4;;;;5;0,1;0,1;;;0,17;0,05;0,4;0,03;3;
917;1;Milk and milk products;Mousse de queso fresco, con frutas;Mousse, cottage cheese, with fruits;A0185 A0452 A0626 A0720 A0724 A0776 A0786 B1201 C0113 E0134 F0018 G0003 H0117 H0136 H0147 H0178 J0136 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;16;;;;;;;;;;;;;45,2;0,14;0,04;;;;;;;;;;;;;;;;;;;1,036;0,124;2,311;;0,2;53;;0,16;90;7;344;;113;;;;;0;135,264;5,4;;5,4;;73,2;;;;13;;;;;8;;;7,7;0,33;;;;11;;0,15;;;0,142;0,033;0,53;0,068;1,4;
918;1;Milk and milk products;Mousse de queso fresco, desnatado, azucarado;Mousse, cottage cheese, skimmed, with sugar;A0185 A0452 A0626 A0720 A0724 A0776 A0786 B1201 C0113 E0119 F0018 G0003 H0136 H0178 H0248 J0136 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;11,4;;;;;;;;;;;;;15,9;0,07;0;;;;;;;;;;;;;;;;;;;0;0;0,3;;0;114;;0,1;127;11;44;;117;;;;;0;106,056;2,8;;8,5;;77,3;;;;7,1;;;;;9,7;;;1,7;0,3;;;;3,9;;0,5;;62,7;0,15;0,02;0,2;62,7;0,7;3,9
919;1;Milk and milk products;Mousse de queso fresco, desnatado, con frutas;Mousse, cottage cheese, skimmed, with fruit;A0185 A0452 A0626 A0720 A0724 A0776 A0786 B1201 C0113 E0134 F0018 G0003 H0136 H0147 H0178 H0248 J0136 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;19,2;;;;;;;;;;;;;13,5;0,05;0,01;;;;;;;;;;;;;;;;;;;0,282;0,039;0,619;;0,3;85;;0,2;110;11;30;;60;;;;;0;117,168;1,8;;5,6;;73,1;;;;3;;;;;9,7;;;4,5;0,2;;;;5,9;;0,1;;89,2;0,11;0,01;0,49;89,2;4;5,9
920;1;Milk and milk products;Mousse de yogur, con frutas;Yogurt mousse, with fruits;A0101 A0452 A0626 A0721 A0724 A0776 A0783 B1201 C0235 E0134 F0014 G0003 H0101 H0147 H0158 H0165 H0178 H0184 H0227 H0263 H0296 J0123 K0003 M0187 N0036 P0024 R0212 R0497 Z0112;1.000.000;;17,7;;;;;;;;;;;;;45,2;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;145,176;6,7;;3,3;;72,3;;;;;;;;;;;;;;;;;;;;;;0,14;;;;;
921;1;Milk and milk products;Mousse de yogur, natural;Yogurt mousse, plain;A0101 A0452 A0626 A0721 A0724 A0776 A0783 B1201 C0235 E0119 F0014 G0003 H0101 H0158 H0165 H0178 H0184 H0263 H0296 J0123 K0003 M0187 N0036 P0024 R0212 R0497 Z0112;1.000.000;;15,8;;;;;;;;;;;;;45,9;0,23;;;;;;;;;;;;;;;;;;;;;;;;;127;;0,1;159;13;46;;95;;;;;0;165,888;9,4;;4,4;;70,4;;;;;;;;;;;;;0,35;;;;4,1;;;;0,09;0,16;;0,25;0,09;;4,1
922;7;Pulses, seeds, nuts and products;Anacardo, crudo;Cashew nut, raw;A0260 A0467 A0629 A0652 A0703 A0730 A0823 B1221 C0155 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0001 Z0205 Z0215;1.000.000;;32;;;;;;;;;;;;;10;0;5,8;;;;0,02;4,42;;3,58;25,96;8,08;0,09;;;;;;;;;27,74;8,01;8,71;;1,4;31;;2,8;552;267;14;;373;;;;;0;576,696;43,1;;17,5;;6,9;25,6;;;0;;;;;0,01;;;34;4,8;;;;68;;2;;;0,26;0,63;0;0,16;0;
923;1;Milk and milk products;Nata, líquida, para cocinar, 18% de grasa;Cream, 18 % fat, uht;A0148 A0453 A0627 A0721 A0724 A0773 A0778 B1201 C0160 E0123 F0014 G0003 H0001 J0135 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;3,4;;;;;;;;;;100;;180;196,667;0,7;0,5;;;;;;;;;;;;;;;;;;;5,7;0,49;12,7;;0;94;;0,2;130;9;45;;65;;;2,51;0;0;201,61872;19,9894;;2,51;;73,9;0;;;70;;;3,4;;2,9;;;0;0,2;;;;0;0,07;0,07;;;0,5;0,03;0,25;0,02;1;
924;1;Milk and milk products;Petit suïsse, cereales y fruta;Petit-suisse type cheese, with cereal and fruit;A0185 A0452 A0626 A0721 A0724 A0776 A0783 B1201 C0245 E0134 F0018 G0003 H0101 H0136 H0147 H0152 H0227 H0296 J0109 J0131 K0003 M0188 N0036 N0042 P0024 R0212 R0497 Z0112;1.000.000;;16,5;;;;;;;;;;;;;64,2;0,18;0,12;;;0,16;0,532;1,545;;0,636;0,948;0,099;0,022;;;0,005;0,002;;;;;1,03;0,1;2,27;0,2433;0,07;96;;0,2;120;13;40;;175;;;;;0;165,96;7,8;;7,2;;68,4;;;;10;;;;;8;;;0,4;0,3;;;;4;;0,1;;58;0,14;0,03;0,3;0,05;0;4
925;7;Pulses, seeds, nuts and products;Cacahuete, frito, salado;Peanut, fried, salted;A0260 A0455 A0629 A0652 A0703 A0730 A0824 B1337 C0155 E0151 F0014 G0025 H0173 H0263 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205;1.000.000;;8,9;;;;;;;;;;0;;0;0;0;8,5;;;;;;;;;;;;;;;;;;;24,2;14,4;9,5;;8,4;62;;2,5;720;180;430;;387;;;0;26,8;0;592,4424;50,3138;;26,8;;2,6;4;;;0;;;4,9;;19;;;4;2,9;;;;52;15;15;;;0,12;0,25;0;0,3;0;
926;1;Milk and milk products;Petit suisse, chocolate;Petit-suisse type cheese, chocolate flavour;A0185 A0452 A0626 A0721 A0724 A0776 A0783 B1201 C0245 E0134 F0018 G0003 H0101 H0136 H0227 H0231 H0296 J0109 J0131 K0003 M0188 N0036 N0042 P0024 R0212 R0497 Z0112;1.000.000;;24,7;;;;;;;;;;;;;40,5;0,3;0,1;;;0,16;0,532;1,545;;0,636;0,948;0,099;0,022;;;0,005;0,002;;;;;1,14;0,12;2,54;0,2433;0;96;;0,2;117;15;38;;77;;;;;0;175,152;6,4;;4,3;;64,6;;;;11;;;;;8;;;0,4;0,3;;;;3;;0,2;;0,57;0,14;0,04;0,3;0,57;0;
927;1;Milk and milk products;Petit suisse, fresa;Petit-suisse type cheese, strawberry flavour;A0185 A0452 A0626 A0721 A0724 A0776 A0783 B1201 C0245 E0134 F0018 G0003 H0101 H0136 H0147 H0227 H0296 J0109 J0131 K0003 M0188 N0036 N0042 P0024 R0212 R0497 Z0112;1.000.000;;16,7;;;;;;;;;;;;;29,2;0,09;0,1;;;0,16;0,532;1,545;;0,636;0,948;0,099;0,022;;;0,005;0,002;;;;;1,14;0,12;2,54;0,2433;0,1;120;;0,1;109;13;35;;81;;;;;0;127,776;3,5;;7;;72,7;;;;11;;;;;8;;;0,4;0,2;;;;4,5;;0,2;;;0;0,04;0,2;0,04;0;4,5
928;1;Milk and milk products;Petit líquido, sabor fresa;Petit type cheese, liquid, strawberry flavour;A0185 A0452 A0626 A0721 A0724 A0776 A0783 B1201 C0245 E0123 F0018 G0003 H0101 H0136 H0147 H0227 H0247 J0109 J0131 K0003 M0188 N0036 N0042 P0024 R0212 R0497 Z0112;1.000.000;;14,5;;;;;;;;;;;;;9,9;0;0;;;;;1,545;;;;;;;;;;;;;;0,3;0;0,6;;0,1;102;79;0,1;126;10;41;;80;;;;;0;79,464;1;;2,8;;81,6;;;;2,5;;;;0,02;8;0,005;;0,4;0,3;;1,1;;1,7;;0,1;0,3;0,02;0,17;0,03;0,17;0,02;0,2;1,7
929;1;Milk and milk products;Queso Camembert 20-30% MG/ES;Camembert cheese, 20-30% fidm;A0314 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0105 F0001 G0003 H0107 H0253 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112;1.000.000;;0;;;;;;;;;;100;;250;266,667;0,17;0,3;;;;;;;;;;;;;;;;;;;3,3;0,32;7;;0;315;;0,2;136;24;891;;286;;;24,7;0;0;200,5704;11,2381;;24,7;;59,7;0;;;30;;;0;;13,8;;;8,5;1,4;;;;66;1,2;1,2;;;0,67;0,05;1,1;0,28;0;
930;1;Milk and milk products;Queso camembert 60% mg/es;Camembert cheese, 60% fidm;A0314 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0105 F0018 G0003 H0107 H0288 H0296 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112;1.000.000;;0;;;;;;;;;;213;;277;312,5;0,4;0,6;;;;;;;;;;;;;;;;;;;9,6;0,95;20,7;;0;295;;0,37;76;67;526;;190,5;;;13,8;0;0;349,956;33,0688;;13,8;;52,5;0;;;100;;;0;;13,8;;;7;1,714;;;;96;0,93;0,93;;;0,43;0,05;2,6;0,2;0;
931;1;Milk and milk products;Queso de Castilla-La Mancha, oveja y cabra;"Lamb and goat cheese, ""castilla-la mancha"" type";A0311 A0452 A0626 A0720 A0724 A0776 B2101 C0245 E0146 F0018 G0003 H0107 H0291 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0147;0.750000;;0;;;;;;;;;;230;;350;388,333;0,25;0,6;;;;;;;;;;;;;;;;;;;8,59;1,09;24,12;;0;682,33;;0,37;63;129,67;496,67;;462,33;;;21,77;0;0;406,4352;35,7672;;21,77;;39,68;0;;;90;;;0;;34;;;1,6;2,07;;;;20;0,1;0,1;;;0,3;0,03;1,5;0,1;0;
932;1;Milk and milk products;Queso de Castilla-La Mancha, oveja, vaca y cabra;"Lamb, cow and goat cheese, ""castilla-la mancha"" type";A0311 A0452 A0626 A0720 A0724 A0776 B2247 C0245 E0146 F0018 G0003 H0107 H0291 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0147;0.980000;;0;;;;;;;;;;230;;350;388,333;0,25;0,6;;;;;;;;;;;;;;;;;;;9,43;1;23,32;;0;689;;0,513;79;22;459;;752;;;23,5;0;0;413,0232;35,7143;;23,5;;37,4;0;;;90;;;0;;34;;;1,6;2,817;;;;20;0,1;0,1;;;0,3;0,03;1,5;0,1;0;
933;1;Milk and milk products;Queso de castilla-león, oveja y vaca;"Sheep and cow cheese, ""castilla-león"" type";A0311 A0452 A0626 A0720 A0724 A0776 B2244 C0245 E0146 F0018 G0003 H0107 H0291 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0147;1.000.000;;0;;;;0,39;;;;;;230;;350;388,333;0,25;0,6;;;;;;;;;;;;;;;;;;;9,67;0,86;23,29;;0;734;;0,483;86;21;689;;528;;;22,6;0;0;410,0088;35,7884;;22,6;;37,3;0;;;90;;;0;;34;;;1,6;2,85;;;;20;0,1;0,1;;;0,3;0,03;1,5;0,1;0;
934;1;Milk and milk products;Queso fresco, cabra;Goat cheese, uncured;A0185 A0452 A0626 A0720 A0724 A0776 A0786 B2611 C0245 E0144 F0001 G0003 H0101 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;1,1;;;;;;;;;;0;;65;65;0;0,05;;;;;;;;;;;;;;;;;;;6,21968;0,814212;15,3569;;0;543;;0,398;90;88;480;;818;;;19,8;0;0;297,7992;23,9333;;19,8;;50,2333;0;;;60,7;;;1,1;;2;;;2,8;2,034;;;;5;0,26;0,26;;;0,24;0,04;0,78;0,09;0;
